Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2026-09-14,3.73,3.73,3.73,3.73,WIBOR_ON
2026-09-14,3.87,3.87,3.87,3.87,WIBOR_6M
2026-09-14,3.84,3.84,3.84,3.84,WIBOR_3M
2026-09-14,3.8,3.8,3.8,3.8,WIBOR_1M
2026-09-14,3.43,3.43,3.43,3.43,WIBID_ON
2026-09-14,127.59246079,127.59246079,127.59246079,127.59246079,POLSTR_CI
2026-09-14,3.57039,3.57039,3.57039,3.57039,POLSTR_6M
2026-09-14,3.57493,3.57493,3.57493,3.57493,POLSTR_3M
2026-09-14,3.538,3.538,3.538,3.538,POLSTR_1M
2026-09-11,3.75,3.75,3.75,3.75,WIBOR_ON
2026-09-11,3.87,3.87,3.87,3.87,WIBOR_6M
2026-09-11,3.84,3.84,3.84,3.84,WIBOR_3M
2026-09-11,3.81,3.81,3.81,3.81,WIBOR_1M
2026-09-11,3.45,3.45,3.45,3.45,WIBID_ON
2026-09-11,127.55449847,127.55449847,127.55449847,127.55449847,POLSTR_CI
2026-09-11,3.57048,3.57048,3.57048,3.57048,POLSTR_6M
2026-09-11,3.57374,3.57374,3.57374,3.57374,POLSTR_3M
2026-09-11,3.53612,3.53612,3.53612,3.53612,POLSTR_1M
2026-09-11,3.621,3.621,3.621,3.621,POLSTR
2026-09-10,3.6,3.6,3.6,3.6,WIBOR_ON
2026-09-10,3.86,3.86,3.86,3.86,WIBOR_6M
2026-09-10,3.83,3.83,3.83,3.83,WIBOR_3M
2026-09-10,3.79,3.79,3.79,3.79,WIBOR_1M
2026-09-10,3.3,3.3,3.3,3.3,WIBID_ON
2026-09-10,127.54241514,127.54241514,127.54241514,127.54241514,POLSTR_CI
2026-09-10,3.57177,3.57177,3.57177,3.57177,POLSTR_6M
2026-09-10,3.57625,3.57625,3.57625,3.57625,POLSTR_3M
2026-09-10,3.54098,3.54098,3.54098,3.54098,POLSTR_1M
2026-09-10,3.458,3.458,3.458,3.458,POLSTR
2026-09-09,3.59,3.59,3.59,3.59,WIBOR_ON
2026-09-09,3.86,3.86,3.86,3.86,WIBOR_6M
2026-09-09,3.83,3.83,3.83,3.83,WIBOR_3M
2026-09-09,3.77,3.77,3.77,3.77,WIBOR_1M
2026-09-09,3.31,3.31,3.31,3.31,WIBID_ON
2026-09-09,127.53032946,127.53032946,127.53032946,127.53032946,POLSTR_CI
2026-09-09,3.57311,3.57311,3.57311,3.57311,POLSTR_6M
2026-09-09,3.57873,3.57873,3.57873,3.57873,POLSTR_3M
2026-09-09,3.55941,3.55941,3.55941,3.55941,POLSTR_1M
2026-09-09,3.459,3.459,3.459,3.459,POLSTR
2026-09-08,3.61,3.61,3.61,3.61,WIBOR_ON
2026-09-08,3.86,3.86,3.86,3.86,WIBOR_6M
2026-09-08,3.84,3.84,3.84,3.84,WIBOR_3M
2026-09-08,3.8,3.8,3.8,3.8,WIBOR_1M
2026-09-08,3.32,3.32,3.32,3.32,WIBID_ON
2026-09-08,127.51825889,127.51825889,127.51825889,127.51825889,POLSTR_CI
2026-09-08,3.57528,3.57528,3.57528,3.57528,POLSTR_6M
2026-09-08,3.58043,3.58043,3.58043,3.58043,POLSTR_3M
2026-09-08,3.56234,3.56234,3.56234,3.56234,POLSTR_1M
2026-09-08,3.455,3.455,3.455,3.455,POLSTR
2026-09-07,3.68,3.68,3.68,3.68,WIBOR_ON
2026-09-07,3.86,3.86,3.86,3.86,WIBOR_6M
2026-09-07,3.82,3.82,3.82,3.82,WIBOR_3M
2026-09-07,3.8,3.8,3.8,3.8,WIBOR_1M
2026-09-07,3.4,3.4,3.4,3.4,WIBID_ON
2026-09-07,127.50608119,127.50608119,127.50608119,127.50608119,POLSTR_CI
2026-09-07,3.57542,3.57542,3.57542,3.57542,POLSTR_6M
